"","X","id","date","Time_today","numberof_Timesattend","Total_membersAttend","Attend_2000","Attend_1999","Event1st_mostimportant","Event2nd_mostimportant","Event3rd_mostimportant","Event4th_mostimportant","Event5th_mostimportant","show_concocrane","show_heatherSmith","show_trooper","show_prairieOyster","show_skarecrow","show_widemouthmason","show_mcMaster&James","show_leahy","show_ritachairelli","show_mollyJohnson","Spent_carnival","Spent_food","Spent_beerwine","Spent_vendoritems","Spent_buckforBands","Spend_moretoday","Ten_admissionattend","AttendingSpent_merchandise","AttendingSpent_food","AttendingSpent_otherpurposes","Town","Total_Householdmembers","Education_Level","Age_range","Occupation","Hosehold_Income2000","Event1st_mostimportant1","Event2nd_mostimportant1","Event3rd_mostimportant1","Event4th_mostimportant1","Event5th_mostimportant1","Spent_Carnival1","Spent_food1","Spent_Beer&Wine1","Spent_Vendors1","Spent_Buck for Bands1","Spend_more1","Spent_Downtownmerch","Spent_Downtownfood","Spent_Downtownother","Ten_admissionattend1","House_members","Age_Range"
"447",454,454,15,2,"One time",2,"No","Yes",3,2,5,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,15,10.6,14,3.6,38,1,26,57,22,"Burlington",4,"Some or graduated from community college","G-50-59","P-Unskilled labour","G-$10,000-$19,999","Stage shows","Carnival","Parade","Food,bear,wine","Vendors","$21-50","$11-20","$11-20","$11-20","$0-5","$21-50","$21-50","$51-100","$21-50","Definitely would not","3-5","G-50-59"
"448",455,455,15,0.5,"One time",1,"Yes","Yes",3,4,1,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,22,25,11,3,20,5,56,27.6,28,"Toronto",3,NA,"T-25-29","G-Unemployed","D-$20,000-$39,999","Stage shows","Food,bear,wine","Vendors","Carnival","Parade","$21-50","$21-50","$21-50","$11-20","$0-5","$11-20","$51-100","$21-50","$21-50","Definitely would","3-5","T-25-29"
"449",456,456,15,0.25,"One time",2,"Yes","No",4,3,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.6,8.8,15,13,2.8,25,5,36,59,26,"Burlington",7,"Some university","G-50-59","H-Office worker","W-$40,000-$59,999","Food,bear,wine","Stage shows","Vendors","Parade","Carnival","$21-50","$6-10","$11-20","$11-20","$0-5","$21-50","$21-50","$51-100","$21-50","Definitely would","6-8","G-50-59"
"450",457,457,15,3,"One time",1,"No","No",3,4,1,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,15,20,20,4.8,20,3,36,20,14,"Hamilton",2,"Some or graduated from community college","D-30-39","M-Sales position","D-$20,000-$39,999","Stage shows","Food,bear,wine","Vendors","Carnival","Parade","$21-50","$11-20","$11-20","$11-20","$0-5","$11-20","$21-50","$11-20","$11-20","Might or might not","0-2","D-30-39"
"451",458,458,15,2,"One time",5,"Yes","Yes",3,4,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.4,5,13.5,15,2.6,20,1,43,30,17,"Hamilton",5,"High School or less","D-30-39",NA,"B-$60,000-$79,999","Stage shows","Food,bear,wine","Parade","Vendors","Carnival","$21-50","$0-5","$11-20","$11-20","$0-5","$11-20","$21-50","$21-50","$11-20","Definitely would not","3-5","D-30-39"
"452",459,459,15,0.1,"One time",2,"Yes","Yes",2,5,4,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.2,11.2,9.4,12,2,20,3,42,45,13,"Burlington",2,"High School or less","F-16-19","O-Student full time","B-$60,000-$79,999","Carnival","Parade","Food,bear,wine","Stage shows","Vendors","$11-20","$11-20","$6-10","$11-20","$0-5","$11-20","$21-50","$21-50","$11-20","Might or might not","0-2","F-16-19"
"453",460,460,15,2,"One time",3,"Yes","Yes",5,3,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,15,24,16,3.8,65,1,20,42,9,"Hamilton",2,"High School or less","G-50-59","X-Self employed","W-$40,000-$59,999","Parade","Stage shows","Food,bear,wine","Carnival","Vendors","$21-50","$11-20","$21-50","$11-20","$0-5","$51-100","$11-20","$21-50","$6-10","Definitely would not","0-2","G-50-59"
"454",461,461,15,0.2,"One time",2,"No","No",3,4,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,15.6,20,14,4.8,50,4,17,32,14,"Burlington",2,"Some or graduated from community college","G-50-59","Y-Professional","L-$80,000-$99,999","Stage shows","Food,bear,wine","Vendors","Parade","Carnival","$11-20","$11-20","$11-20","$11-20","$0-5","$21-50","$11-20","$21-50","$11-20","Probably would","0-2","G-50-59"
"455",462,462,15,0.5,"One time",1,"No","Yes",4,3,2,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.2,12.8,20.8,10,3,22,1,67,36,16,"Oakville",2,"Vocational training","D-30-39","M-Sales position","L-$80,000-$99,999","Food,bear,wine","Stage shows","Carnival","Parade","Vendors","$11-20","$11-20","$21-50","$6-10","$0-5","$21-50","$51-100","$21-50","$11-20","Definitely would not","0-2","D-30-39"
"456",463,463,15,0.1,"One time",4,"No","No",4,3,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,17.6,33,12,3.8,40,4,32,37,14,"Burlington",4,"Vocational training","T-25-29","H-Office worker","D-$20,000-$39,999","Food,bear,wine","Stage shows","Carnival","Vendors","Parade","$21-50","$11-20","$21-50","$11-20","$0-5","$21-50","$21-50","$21-50","$11-20","Probably would","3-5","T-25-29"
"457",464,464,15,1,"One time",1,"Yes","Yes",3,2,4,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.8,10.2,20,16,2.2,40,4,36,34,15,"Burlington",1,"High School or less","G-50-59","M-Sales position","B-$60,000-$79,999","Stage shows","Carnival","Food,bear,wine","Parade","Carnival","$11-20","$11-20","$11-20","$11-20","$0-5","$21-50","$21-50","$21-50","$11-20","Probably would","0-2","G-50-59"
"458",465,465,15,1,"Two times",4,"Yes","Yes",3,5,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,8.6,10,10,3.4,50,2,38,33,8,"Burlington",4,"High School or less","A-40-49","M-Sales position","W-$40,000-$59,999","Stage shows","Parade","Vendors","Carnival","Food,bear,wine","$11-20","$6-10","$6-10","$6-10","$0-5","$21-50","$21-50","$21-50","$6-10","Probably would not","3-5","A-40-49"
"459",466,466,15,4,"Two times",5,"Yes","Yes",5,3,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,14.2,24,20,3.8,100,4,22,22,14,"Oakville",5,"Vocational training","T-25-29","L-Managerial position","L-$80,000-$99,999","Parade","Stage shows","Carnival","Vendors","Food,bear,wine","$11-20","$11-20","$21-50","$11-20","$0-5","$51-100","$21-50","$21-50","$11-20","Probably would","3-5","T-25-29"
"460",467,467,15,1,"One time",2,"Yes","Yes",2,1,5,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,5,13.2,6,3.8,25,1,36,36,17,"Hamilton",5,"Some university","A-40-49","X-Self employed","B-$60,000-$79,999","Carnival","Vendors","Parade","Stage shows","Food,bear,wine","$21-50","$0-5","$11-20","$6-10","$0-5","$21-50","$21-50","$21-50","$11-20","Definitely would not","3-5","A-40-49"
"461",468,468,15,0.45,"One time",1,"Yes","Yes",3,2,5,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.8,3,12.4,14,3.4,17,2,29,36,11,"Burlington",1,"Some university","E-60-69","E-Reired","D-$20,000-$39,999","Stage shows","Carnival","Parade","Food,bear,wine","Vendors","$21-50","$0-5","$11-20","$11-20","$0-5","$11-20","$21-50","$21-50","$11-20","Probably would not","0-2","E-60-69"
"462",469,469,15,0.5,"One time",2,"Yes","Yes",1,4,2,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,25,20,16,4.6,30,2,33,28,13,"Hamilton",2,"High School or less","A-40-49","D-Skilled labour","W-$40,000-$59,999","Vendors","Food,bear,wine","Carnival","Stage shows","Parade","$21-50","$21-50","$11-20","$11-20","$0-5","$21-50","$21-50","$21-50","$11-20","Probably would not","0-2","A-40-49"
"463",470,470,15,0.1,"One time",1,"Yes","No",3,2,5,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,8.8,6.2,12,5.6,10,2,38,16,32,"Burlington",1,"University graduate","D-30-39","A-Teacher","D-$20,000-$39,999","Stage shows","Carnival","Parade","Vendors","Food,bear,wine","$11-20","$6-10","$6-10","$11-20","$6-10","$6-10","$21-50","$11-20","$21-50","Probably would not","0-2","D-30-39"
"464",471,471,15,0.2,"One time",3.6,"No","No",1,4,5,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.8,12.6,19,17,2.8,54,1,20,20,13,"Burlington",1,"Vocational training","E-60-69","G-Unemployed","G-$10,000-$19,999","Vendors","Food,bear,wine","Parade","Stage shows","Carnival","$21-50","$11-20","$11-20","$11-20","$0-5","$51-100","$11-20","$11-20","$11-20","Definitely would not","0-2","E-60-69"
"465",472,472,15,0.25,"One time",3,"Yes","No",3,4,1,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.6,8.4,14,16,3.4,30,2,22,45,13,"Hamilton",4,"High School or less","A-40-49","M-Sales position","W-$40,000-$59,999","Stage shows","Food,bear,wine","Vendors","Carnival","Parade","$11-20","$6-10","$11-20","$11-20","$0-5","$21-50","$21-50","$21-50","$11-20","Probably would not","3-5","A-40-49"
"466",473,473,15,0.5,"One time",2,"No","Yes",1,3,2,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,8,9,2.6,20,1,47,29,10,"Burlington",2,"High School or less","E-60-69","B-Not employed outside of home","B-$60,000-$79,999","Vendors","Stage shows","Carnival","Parade","Food,bear,wine","$6-10","$0-5","$6-10","$6-10","$0-5","$11-20","$21-50","$21-50","$6-10","Definitely would not","0-2","E-60-69"
"467",474,474,15,0.5,"One time",2,"Yes","Yes",3,4,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,11.4,18,12,3.4,30,2,31,43,15,"Burlington",2,"Some or graduated from community college","T-25-29","H-Office worker","B-$60,000-$79,999","Stage shows","Food,bear,wine","Vendors","Parade","Carnival","$11-20","$11-20","$11-20","$11-20","$0-5","$21-50","$21-50","$21-50","$11-20","Probably would not","0-2","T-25-29"
"468",475,475,15,4,"One time",2,"Yes","Yes",3,5,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,25,25,32,19.8,400,5,94,46,15,"Other",2,"Some or graduated from community college","D-30-39","L-Managerial position","B-$60,000-$79,999","Stage shows","Parade","Vendors","Food,bear,wine","Carnival","$21-50","$21-50","$21-50","$21-50","$11-20","$201-400","$51-100","$21-50","$11-20","Definitely would","0-2","D-30-39"
"469",476,476,15,0.2,"One time",1.2,"Yes","Yes",3,1,5,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,12,13,13,2,10,2,33,28,18,"Burlington",3,"High School or less","G-50-59","M-Sales position","B-$60,000-$79,999","Stage shows","Vendors","Parade","Food,bear,wine","Carnival","$11-20","$11-20","$11-20","$11-20","$0-5","$6-10","$21-50","$21-50","$11-20","Probably would not","3-5","G-50-59"
"470",477,477,15,0.5,"Two times",1,"No","No",3,5,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,33.6,100,17,7.2,300,3,36,25,27,"Burlington",1,"Some or graduated from community college","G-50-59","L-Managerial position","B-$60,000-$79,999","Stage shows","Parade","Food,bear,wine","Vendors","Carnival","$21-50","$21-50","$51-100","$11-20","$6-10","$201-400","$21-50","$21-50","$21-50","Might or might not","0-2","G-50-59"
"471",478,478,15,0.1,"One time",3,"Yes","Yes",5,2,3,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,10,15,14,2.6,100,1,44,30,12,"Burlington",3,"Some or graduated from community college","V-20-24","C-Other","B-$60,000-$79,999","Parade","Carnival","Stage shows","Food,bear,wine","Vendors","$11-20","$6-10","$11-20","$11-20","$0-5","$51-100","$21-50","$21-50","$11-20","Definitely would not","3-5","V-20-24"
"472",479,479,15,3,"One time",2,"No","Yes",3,5,1,4,3,NA,NA,"Yes",NA,NA,NA,NA,"Yes",NA,NA,17,10,8.4,15,2,22,4,58,40,23,"Other",2,"High School or less","G-50-59","X-Self employed","D-$20,000-$39,999","Stage shows","Parade","Vendors","Food,bear,wine","Stage shows","$11-20","$6-10","$6-10","$11-20","$0-5","$21-50","$51-100","$21-50","$21-50","Probably would","0-2","G-50-59"
"473",480,480,15,4,"Three times",2,"Yes","No",3,4,1,5,2,"Yes",NA,"Yes","Yes",NA,NA,NA,"Yes",NA,NA,18,10,20,15,2,20,4,30,40,21,"Burlington",2,"Some or graduated from community college","G-50-59","L-Managerial position","L-$80,000-$99,999","Stage shows","Food,bear,wine","Vendors","Parade","Carnival","$11-20","$6-10","$11-20","$11-20","$0-5","$11-20","$21-50","$21-50","$21-50","Probably would","0-2","G-50-59"
"474",481,481,15,2,"Two times",1,"Yes","Yes",3,3,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,5,15,11,2,20,5,34,39.6,13,"Burlington",1,"University graduate","E-60-69","E-Reired","B-$60,000-$79,999","Stage shows","Stage shows","Stage shows","Carnival","Food,bear,wine","$6-10","$0-5","$11-20","$11-20","$0-5","$11-20","$21-50","$21-50","$11-20","Definitely would","0-2","E-60-69"
"475",482,482,15,2,"One time",2,"No","No",3,4,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,15.2,13,20,2,34,4,33,26,10,"Burlington",2,"High School or less","G-50-59","E-Reired","W-$40,000-$59,999","Stage shows","Food,bear,wine","Stage shows","Stage shows","Stage shows","$11-20","$11-20","$11-20","$11-20","$0-5","$21-50","$21-50","$21-50","$6-10","Probably would","0-2","G-50-59"
"476",483,483,15,3,"Three times",3,"Yes","Yes",3,5,4,2,2,"Yes",NA,"Yes","Yes",NA,NA,NA,NA,NA,NA,20,10,15,15,2,19,1,60,30,19,"Burlington",3,"University graduate","D-30-39","Y-Professional","W-$40,000-$59,999","Stage shows","Parade","Food,bear,wine","Carnival","Carnival","$11-20","$6-10","$11-20","$11-20","$0-5","$11-20","$51-100","$21-50","$11-20","Definitely would not","3-5","D-30-39"
"477",484,484,15,3,"Two times",1,"Yes","Yes",3,4,5,2,1,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,20,10,30,12,2,60,2,53,60,44,"Burlington",1,"Some university","D-30-39","X-Self employed","U-$100,000 and more","Stage shows","Food,bear,wine","Parade","Carnival","Vendors","$11-20","$6-10","$21-50","$11-20","$0-5","$51-100","$51-100","$51-100","$21-50","Probably would not","0-2","D-30-39"
"478",485,485,15,4,"One time",3,"Yes","Yes",2,3,1,4,5,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,50,20,23,15,2,39,5,33,40,23,"Burlington",3,"High School or less","D-30-39","D-Skilled labour","B-$60,000-$79,999","Carnival","Stage shows","Vendors","Food,bear,wine","Parade","$21-50","$11-20","$21-50","$11-20","$0-5","$21-50","$21-50","$21-50","$21-50","Definitely would","3-5","D-30-39"
"479",486,486,15,4,"Two times",2,"No","No",3,1,5,3,2,NA,NA,"Yes",NA,NA,NA,NA,"Yes",NA,NA,20,20,22.6,15,2,20,2,50,25,12,"Hamilton",2,"Some graduate school or graduate degree","T-25-29","Y-Professional","D-$20,000-$39,999","Stage shows","Vendors","Parade","Stage shows","Carnival","$11-20","$11-20","$21-50","$11-20","$0-5","$11-20","$21-50","$21-50","$11-20","Probably would not","0-2","T-25-29"
"480",487,487,15,2,"Two times",3,"Yes","No",3,2,4,3,3,"Yes",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,20,20,21,20,2,20,5,64,36,24,"Burlington",3,"University graduate","D-30-39","Y-Professional","B-$60,000-$79,999","Stage shows","Carnival","Food,bear,wine","Stage shows","Stage shows","$11-20","$11-20","$21-50","$11-20","$0-5","$11-20","$51-100","$21-50","$21-50","Definitely would","3-5","D-30-39"
"481",488,488,15,3,"Four times",4,"Yes","Yes",5,3,2,1,4,"Yes",NA,"Yes",NA,NA,NA,NA,"Yes",NA,NA,20,10,13,14,2,49,2,38,28,6,"Burlington",2,"University graduate","G-50-59","A-Teacher","B-$60,000-$79,999","Parade","Stage shows","Carnival","Vendors","Food,bear,wine","$11-20","$6-10","$11-20","$11-20","$0-5","$21-50","$21-50","$21-50","$6-10","Probably would not","0-2","G-50-59"
"482",489,489,15,0.1,"Two times",4,"Yes","No",3,5,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,35,10,18,4,85,5,63,37,9,"Oakville",4,"Vocational training","D-30-39","M-Sales position","D-$20,000-$39,999","Stage shows","Parade","Food,bear,wine","Vendors","Carnival","$21-50","$21-50","$6-10","$11-20","$0-5","$51-100","$51-100","$21-50","$6-10","Definitely would","3-5","D-30-39"
"483",490,490,15,0.1,"Two times",2,"Yes","Yes",3,5,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,26.8,23,21,4,50,5,31,68,8,"Burlington",2,"Some or graduated from community college","G-50-59","L-Managerial position","B-$60,000-$79,999","Stage shows","Parade","Food,bear,wine","Vendors","Vendors","$21-50","$21-50","$21-50","$21-50","$0-5","$21-50","$21-50","$51-100","$6-10","Definitely would","0-2","G-50-59"
"484",491,491,15,0.1,"One time",4,"Yes","No",3,2,1,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.2,8.7,14,12,1.8,50,1,42,34,15,"Burlington",4,"Some or graduated from community college","T-25-29","Y-Professional","L-$80,000-$99,999","Stage shows","Carnival","Vendors","Food,bear,wine","Parade","$21-50","$6-10","$11-20","$11-20","$0-5","$21-50","$21-50","$21-50","$11-20","Definitely would not","3-5","T-25-29"
"485",492,492,15,0.1,"One time",2,"Yes","Yes",3,5,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,13,19,10,4,20,4,35,48,18,"Burlington",2,"University graduate","A-40-49","Y-Professional","W-$40,000-$59,999","Stage shows","Parade","Stage shows","Stage shows","Carnival","$11-20","$11-20","$11-20","$6-10","$0-5","$11-20","$21-50","$21-50","$11-20","Probably would","0-2","A-40-49"
"486",493,493,15,0.1,NA,3,"Yes","Yes",3,2,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,9.4,13.4,12,3.8,30,2,23,37,21,"Hamilton",3,"University graduate","D-30-39","B-Not employed outside of home","B-$60,000-$79,999","Stage shows","Carnival","Food,bear,wine","Stage shows","Stage shows","$21-50","$6-10","$11-20","$11-20","$0-5","$21-50","$21-50","$21-50","$21-50","Probably would not","3-5","D-30-39"
"487",494,494,15,0.1,"One time",2,"Yes","Yes",3,1,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,7.4,18.2,15,3,33,4,58,44,19,"Burlington",2,"Vocational training","B-70 and older","E-Reired","B-$60,000-$79,999","Stage shows","Vendors","Food,bear,wine","Food,bear,wine","Stage shows","$21-50","$6-10","$11-20","$11-20","$0-5","$21-50","$51-100","$21-50","$11-20","Probably would","0-2","B-70 and older"
"488",495,495,15,0.1,"One time",1,"No","No",3,5,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,14,19,19,4.6,20,3,33,20,9,"Burlington",1,"Vocational training","B-70 and older","E-Reired","W-$40,000-$59,999","Stage shows","Parade","Vendors","Stage shows","Food,bear,wine","$21-50","$11-20","$11-20","$11-20","$0-5","$11-20","$21-50","$11-20","$6-10","Might or might not","0-2","B-70 and older"
"489",496,496,15,2.8,"Two times",4,"Yes","Yes",3,5,4,2,1,"Yes",NA,"Yes","Yes",NA,NA,NA,NA,NA,NA,54,20,24,10,2,100,5,45,21.2,9,"Hamilton",1,"High School or less","G-50-59","X-Self employed","W-$40,000-$59,999","Stage shows","Parade","Food,bear,wine","Carnival","Vendors","$51-100","$11-20","$21-50","$6-10","$0-5","$51-100","$21-50","$21-50","$6-10","Definitely would","0-2","G-50-59"
"490",497,497,15,2.15,"One time",1,"Yes","Yes",5,3,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,13.2,14.6,10,2.8,90,4,25,20,16,"Burlington",1,"High School or less","E-60-69","P-Unskilled labour","R-Less than 10,000","Parade","Stage shows","Vendors","Carnival","Food,bear,wine","$21-50","$11-20","$11-20","$6-10","$0-5","$51-100","$21-50","$11-20","$11-20","Probably would","0-2","E-60-69"
"491",498,498,15,2.46,"One time",2,"Yes","Yes",3,4,3,2,3,"Yes",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,46,15.6,13,16,5.2,30,2,90,60,19,"Burlington",2,"University graduate","G-50-59","X-Self employed","B-$60,000-$79,999","Stage shows","Food,bear,wine","Stage shows","Carnival","Stage shows","$21-50","$11-20","$11-20","$11-20","$6-10","$21-50","$51-100","$51-100","$11-20","Probably would not","0-2","G-50-59"
"492",499,499,15,0.66,"One time",2,"No","No",3,4,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,12.4,22,23,3.8,75,4,29,30,21,"Burlington",2,"High School or less","E-60-69","E-Reired","B-$60,000-$79,999","Stage shows","Food,bear,wine","Parade","Carnival","Stage shows","$21-50","$11-20","$21-50","$21-50","$0-5","$51-100","$21-50","$21-50","$21-50","Probably would","0-2","E-60-69"
"493",500,500,15,1,"Two times",2,"Yes","Yes",3,1,4,5,2,"Yes",NA,NA,"Yes",NA,NA,NA,NA,"Yes",NA,30,11.4,20,11,2.6,30,4,44,20,21,"Burlington",2,"Some or graduated from community college","G-50-59","M-Sales position","L-$80,000-$99,999","Stage shows","Vendors","Food,bear,wine","Parade","Carnival","$21-50","$11-20","$11-20","$11-20","$0-5","$21-50","$21-50","$11-20","$21-50","Probably would","0-2","G-50-59"
"494",501,501,16,4.5,"One time",4,"Yes","Yes",2,3,4,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,45,21,22,7.6,100,5,53,32,6,"Burlington",4,"High School or less","D-30-39","D-Skilled labour","B-$60,000-$79,999","Carnival","Stage shows","Food,bear,wine","Vendors","Parade","$51-100","$21-50","$21-50","$21-50","$6-10","$51-100","$51-100","$21-50","$6-10","Definitely would","3-5","D-30-39"
"495",502,502,16,4,"One time",7,"Yes","No",3,1,2,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,40,46,20,10,18,4,31,25,12,"Hamilton",4,"Some or graduated from community college","D-30-39","X-Self employed","B-$60,000-$79,999","Stage shows","Vendors","Carnival","Food,bear,wine","Parade","$21-50","$21-50","$21-50","$11-20","$6-10","$11-20","$21-50","$21-50","$11-20","Probably would","3-5","D-30-39"
"496",503,503,16,0.1,"Three times",1,"Yes","Yes",3,4,5,1,2,NA,NA,"Yes","Yes",NA,NA,"Yes",NA,NA,NA,21,10,14,17,2,15,5,37,45,31,"Burlington",4,"Some graduate school or graduate degree","D-30-39","Y-Professional","W-$40,000-$59,999","Stage shows","Food,bear,wine","Parade","Vendors","Carnival","$21-50","$6-10","$11-20","$11-20","$0-5","$11-20","$21-50","$21-50","$21-50","Definitely would","3-5","D-30-39"
"497",504,504,16,0.1,"One time",1,"Yes","Yes",3,4,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.75,9.65,13,9,2.4,20,2,20,20,13,"Burlington",1,"High School or less","E-60-69","E-Reired","D-$20,000-$39,999","Stage shows","Food,bear,wine","Carnival","Vendors","Parade","$11-20","$6-10","$11-20","$6-10","$0-5","$11-20","$11-20","$11-20","$11-20","Probably would not","0-2","E-60-69"
"498",505,505,16,6,"Three times",1,"Yes","Yes",3,4,3,2,3,NA,"Yes","Yes","Yes",NA,NA,"Yes",NA,NA,NA,37,16,24,14,4,28,4,60,30,44,"Burlington",3,"Some university","G-50-59","X-Self employed","L-$80,000-$99,999","Stage shows","Food,bear,wine","Stage shows","Carnival","Stage shows","$21-50","$11-20","$21-50","$11-20","$0-5","$21-50","$51-100","$21-50","$21-50","Probably would","3-5","G-50-59"
"499",506,506,16,2,"One time",4,"Yes","Yes",5,3,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,20,14.4,19,3.2,25,4,52,48,13,"Burlington",4,"Some graduate school or graduate degree","D-30-39","A-Teacher","L-$80,000-$99,999","Parade","Stage shows","Carnival","Vendors","Food,bear,wine","$21-50","$11-20","$11-20","$11-20","$0-5","$21-50","$51-100","$21-50","$11-20","Probably would","3-5","D-30-39"
"500",507,507,16,8,"One time",1,"No","Yes",5,3,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,20,20,15,5,50,5,100,100,100,"Toronto",1,"University graduate","G-50-59","L-Managerial position","U-$100,000 and more","Parade","Stage shows","Carnival","Food,bear,wine","Vendors","$21-50","$11-20","$11-20","$11-20","$0-5","$21-50","$51-100","$51-100","$51-100","Definitely would","0-2","G-50-59"
"501",508,508,16,3,"One time",1,"No","No",3,4,1,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.2,6.6,10.8,10,3,30,5,72,15,47,"Other",3,"High School or less","G-50-59","E-Reired","W-$40,000-$59,999","Stage shows","Food,bear,wine","Vendors","Parade","Food,bear,wine","$11-20","$6-10","$11-20","$6-10","$0-5","$21-50","$51-100","$11-20","$21-50","Definitely would","3-5","G-50-59"
"502",509,509,16,8,"Two times",3,"Yes","Yes",3,5,1,4,2,NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,24,11.2,13,15,10,20,5,30,90,16,"Burlington",4,"University graduate","G-50-59","L-Managerial position","B-$60,000-$79,999","Stage shows","Parade","Vendors","Food,bear,wine","Carnival","$21-50","$11-20","$11-20","$11-20","$6-10","$11-20","$21-50","$51-100","$11-20","Definitely would","3-5","G-50-59"
"503",510,510,16,2,"One time",1,"No","No",3,5,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,9.2,18,8,2.6,43,4,20,27,13,"Burlington",1,"University graduate","B-70 and older","E-Reired","W-$40,000-$59,999","Stage shows","Parade","Stage shows","Stage shows","Carnival","$11-20","$6-10","$11-20","$6-10","$0-5","$21-50","$11-20","$21-50","$11-20","Probably would","0-2","B-70 and older"
"504",511,511,16,0.25,"One time",2,"No","No",3,4,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2,15.4,16,20,3.6,23,4,49,70,23,"Burlington",2,"University graduate","B-70 and older","E-Reired","L-$80,000-$99,999","Stage shows","Food,bear,wine","Stage shows","Carnival","Stage shows","$11-20","$11-20","$11-20","$11-20","$0-5","$21-50","$21-50","$51-100","$21-50","Probably would","0-2","B-70 and older"
"505",512,512,16,0.5,"One time",1,"Yes","Yes",5,3,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,12.6,43,18,3.4,31,1,38,24,20,"Burlington",3,"High School or less","V-20-24","C-Other","W-$40,000-$59,999","Parade","Stage shows","Stage shows","Vendors","Stage shows","$21-50","$11-20","$21-50","$11-20","$0-5","$21-50","$21-50","$21-50","$11-20","Definitely would not","3-5","V-20-24"
"506",513,513,16,1.5,"One time",3,"No","No",3,4,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,11,13.4,10,3,25,2,52,34,22,"Burlington",4,"Some or graduated from community college","G-50-59","L-Managerial position","L-$80,000-$99,999","Stage shows","Food,bear,wine","Parade","Vendors","Carnival","$11-20","$11-20","$11-20","$6-10","$0-5","$21-50","$51-100","$21-50","$21-50","Probably would not","3-5","G-50-59"
